"","nn","CP","RC_VAR","Error","NUMB_Error","TC"
"1",1,1,0.55,0.1,1,1e+06
"2",2,1,0.55,0.1,1,1e+06
"3",3,1,0.55,0.1,1,1e+06
"4",4,1,0.55,0.1,1,1e+06
"5",5,1,0.55,0.1,1,1e+06
"6",1,1,0.55,0.1,1,1e+06
"7",2,1,0.55,0.1,1,1e+06
"8",3,1,0.55,0.1,1,1e+06
"9",4,1,0.55,0.1,1,1e+06
"10",5,1,0.55,0.1,1,1e+06
"11",1,1,0.55,0.3,1,1e+06
"12",2,1,0.55,0.3,1,1e+06
"13",3,1,0.55,0.3,1,1e+06
"14",4,1,0.55,0.3,1,1e+06
"15",5,1,0.55,0.3,1,1e+06
"16",1,1,0.55,0.3,1,1e+06
"17",2,1,0.55,0.3,1,1e+06
"18",3,1,0.55,0.3,1,1e+06
"19",4,1,0.55,0.3,1,1e+06
"20",5,1,0.55,0.3,1,1e+06
"21",1,1,0.55,0.5,1,1e+06
"22",2,1,0.55,0.5,1,1e+06
"23",3,1,0.55,0.5,1,1e+06
"24",4,1,0.55,0.5,1,1e+06
"25",5,1,0.55,0.5,1,1e+06
"26",1,1,0.55,0.5,1,1e+06
"27",2,1,0.55,0.5,1,1e+06
"28",3,1,0.55,0.5,1,1e+06
"29",4,1,0.55,0.5,1,1e+06
"30",5,1,0.55,0.5,1,1e+06
"31",1,1,0.55,0.1,1,1e+06
"32",2,1,0.55,0.1,1,1e+06
"33",3,1,0.55,0.1,1,1e+06
"34",4,1,0.55,0.1,1,1e+06
"35",5,1,0.55,0.1,1,1e+06
"36",1,1,0.55,0.1,1,1e+06
"37",2,1,0.55,0.1,1,1e+06
"38",3,1,0.55,0.1,1,1e+06
"39",4,1,0.55,0.1,1,1e+06
"40",5,1,0.55,0.1,1,1e+06
"41",1,1,0.55,0.3,1,1e+06
"42",2,1,0.55,0.3,1,1e+06
"43",3,1,0.55,0.3,1,1e+06
"44",4,1,0.55,0.3,1,1e+06
"45",5,1,0.55,0.3,1,1e+06
"46",1,1,0.55,0.3,1,1e+06
"47",2,1,0.55,0.3,1,1e+06
"48",3,1,0.55,0.3,1,1e+06
"49",4,1,0.55,0.3,1,1e+06
"50",5,1,0.55,0.3,1,1e+06
"51",1,1,0.55,0.5,1,1e+06
"52",2,1,0.55,0.5,1,1e+06
"53",3,1,0.55,0.5,1,1e+06
"54",4,1,0.55,0.5,1,1e+06
"55",5,1,0.55,0.5,1,1e+06
"56",1,1,0.55,0.5,1,1e+06
"57",2,1,0.55,0.5,1,1e+06
"58",3,1,0.55,0.5,1,1e+06
"59",4,1,0.55,0.5,1,1e+06
"60",5,1,0.55,0.5,1,1e+06
"61",1,2,0.55,0.1,1,1e+06
"62",2,2,0.55,0.1,1,1e+06
"63",3,2,0.55,0.1,1,1e+06
"64",4,2,0.55,0.1,1,1e+06
"65",5,2,0.55,0.1,1,1e+06
"66",1,2,0.55,0.1,1,1e+06
"67",2,2,0.55,0.1,1,1e+06
"68",3,2,0.55,0.1,1,1e+06
"69",4,2,0.55,0.1,1,1e+06
"70",5,2,0.55,0.1,1,1e+06
"71",1,2,0.55,0.3,1,1e+06
"72",2,2,0.55,0.3,1,1e+06
"73",3,2,0.55,0.3,1,1e+06
"74",4,2,0.55,0.3,1,1e+06
"75",5,2,0.55,0.3,1,1e+06
"76",1,2,0.55,0.3,1,1e+06
"77",2,2,0.55,0.3,1,1e+06
"78",3,2,0.55,0.3,1,1e+06
"79",4,2,0.55,0.3,1,1e+06
"80",5,2,0.55,0.3,1,1e+06
"81",1,2,0.55,0.5,1,1e+06
"82",2,2,0.55,0.5,1,1e+06
"83",3,2,0.55,0.5,1,1e+06
"84",4,2,0.55,0.5,1,1e+06
"85",5,2,0.55,0.5,1,1e+06
"86",1,2,0.55,0.5,1,1e+06
"87",2,2,0.55,0.5,1,1e+06
"88",3,2,0.55,0.5,1,1e+06
"89",4,2,0.55,0.5,1,1e+06
"90",5,2,0.55,0.5,1,1e+06
"91",1,2,0.55,0.1,1,1e+06
"92",2,2,0.55,0.1,1,1e+06
"93",3,2,0.55,0.1,1,1e+06
"94",4,2,0.55,0.1,1,1e+06
"95",5,2,0.55,0.1,1,1e+06
"96",1,2,0.55,0.1,1,1e+06
"97",2,2,0.55,0.1,1,1e+06
"98",3,2,0.55,0.1,1,1e+06
"99",4,2,0.55,0.1,1,1e+06
"100",5,2,0.55,0.1,1,1e+06
"101",1,2,0.55,0.3,1,1e+06
"102",2,2,0.55,0.3,1,1e+06
"103",3,2,0.55,0.3,1,1e+06
"104",4,2,0.55,0.3,1,1e+06
"105",5,2,0.55,0.3,1,1e+06
"106",1,2,0.55,0.3,1,1e+06
"107",2,2,0.55,0.3,1,1e+06
"108",3,2,0.55,0.3,1,1e+06
"109",4,2,0.55,0.3,1,1e+06
"110",5,2,0.55,0.3,1,1e+06
"111",1,2,0.55,0.5,1,1e+06
"112",2,2,0.55,0.5,1,1e+06
"113",3,2,0.55,0.5,1,1e+06
"114",4,2,0.55,0.5,1,1e+06
"115",5,2,0.55,0.5,1,1e+06
"116",1,2,0.55,0.5,1,1e+06
"117",2,2,0.55,0.5,1,1e+06
"118",3,2,0.55,0.5,1,1e+06
"119",4,2,0.55,0.5,1,1e+06
"120",5,2,0.55,0.5,1,1e+06
"121",1,3,0.55,0.1,1,1e+06
"122",2,3,0.55,0.1,1,1e+06
"123",3,3,0.55,0.1,1,1e+06
"124",4,3,0.55,0.1,1,1e+06
"125",5,3,0.55,0.1,1,1e+06
"126",1,3,0.55,0.1,1,1e+06
"127",2,3,0.55,0.1,1,1e+06
"128",3,3,0.55,0.1,1,1e+06
"129",4,3,0.55,0.1,1,1e+06
"130",5,3,0.55,0.1,1,1e+06
"131",1,3,0.55,0.3,1,1e+06
"132",2,3,0.55,0.3,1,1e+06
"133",3,3,0.55,0.3,1,1e+06
"134",4,3,0.55,0.3,1,1e+06
"135",5,3,0.55,0.3,1,1e+06
"136",1,3,0.55,0.3,1,1e+06
"137",2,3,0.55,0.3,1,1e+06
"138",3,3,0.55,0.3,1,1e+06
"139",4,3,0.55,0.3,1,1e+06
"140",5,3,0.55,0.3,1,1e+06
"141",1,3,0.55,0.5,1,1e+06
"142",2,3,0.55,0.5,1,1e+06
"143",3,3,0.55,0.5,1,1e+06
"144",4,3,0.55,0.5,1,1e+06
"145",5,3,0.55,0.5,1,1e+06
"146",1,3,0.55,0.5,1,1e+06
"147",2,3,0.55,0.5,1,1e+06
"148",3,3,0.55,0.5,1,1e+06
"149",4,3,0.55,0.5,1,1e+06
"150",5,3,0.55,0.5,1,1e+06
"151",1,3,0.55,0.1,1,1e+06
"152",2,3,0.55,0.1,1,1e+06
"153",3,3,0.55,0.1,1,1e+06
"154",4,3,0.55,0.1,1,1e+06
"155",5,3,0.55,0.1,1,1e+06
"156",1,3,0.55,0.1,1,1e+06
"157",2,3,0.55,0.1,1,1e+06
"158",3,3,0.55,0.1,1,1e+06
"159",4,3,0.55,0.1,1,1e+06
"160",5,3,0.55,0.1,1,1e+06
"161",1,3,0.55,0.3,1,1e+06
"162",2,3,0.55,0.3,1,1e+06
"163",3,3,0.55,0.3,1,1e+06
"164",4,3,0.55,0.3,1,1e+06
"165",5,3,0.55,0.3,1,1e+06
"166",1,3,0.55,0.3,1,1e+06
"167",2,3,0.55,0.3,1,1e+06
"168",3,3,0.55,0.3,1,1e+06
"169",4,3,0.55,0.3,1,1e+06
"170",5,3,0.55,0.3,1,1e+06
"171",1,3,0.55,0.5,1,1e+06
"172",2,3,0.55,0.5,1,1e+06
"173",3,3,0.55,0.5,1,1e+06
"174",4,3,0.55,0.5,1,1e+06
"175",5,3,0.55,0.5,1,1e+06
"176",1,3,0.55,0.5,1,1e+06
"177",2,3,0.55,0.5,1,1e+06
"178",3,3,0.55,0.5,1,1e+06
"179",4,3,0.55,0.5,1,1e+06
"180",5,3,0.55,0.5,1,1e+06
"181",1,4,0.55,0.1,1,1e+06
"182",2,4,0.55,0.1,1,1e+06
"183",3,4,0.55,0.1,1,1e+06
"184",4,4,0.55,0.1,1,1e+06
"185",5,4,0.55,0.1,1,1e+06
"186",1,4,0.55,0.1,1,1e+06
"187",2,4,0.55,0.1,1,1e+06
"188",3,4,0.55,0.1,1,1e+06
"189",4,4,0.55,0.1,1,1e+06
"190",5,4,0.55,0.1,1,1e+06
"191",1,4,0.55,0.3,1,1e+06
"192",2,4,0.55,0.3,1,1e+06
"193",3,4,0.55,0.3,1,1e+06
"194",4,4,0.55,0.3,1,1e+06
"195",5,4,0.55,0.3,1,1e+06
"196",1,4,0.55,0.3,1,1e+06
"197",2,4,0.55,0.3,1,1e+06
"198",3,4,0.55,0.3,1,1e+06
"199",4,4,0.55,0.3,1,1e+06
"200",5,4,0.55,0.3,1,1e+06
"201",1,4,0.55,0.5,1,1e+06
"202",2,4,0.55,0.5,1,1e+06
"203",3,4,0.55,0.5,1,1e+06
"204",4,4,0.55,0.5,1,1e+06
"205",5,4,0.55,0.5,1,1e+06
"206",1,4,0.55,0.5,1,1e+06
"207",2,4,0.55,0.5,1,1e+06
"208",3,4,0.55,0.5,1,1e+06
"209",4,4,0.55,0.5,1,1e+06
"210",5,4,0.55,0.5,1,1e+06
"211",1,4,0.55,0.1,1,1e+06
"212",2,4,0.55,0.1,1,1e+06
"213",3,4,0.55,0.1,1,1e+06
"214",4,4,0.55,0.1,1,1e+06
"215",5,4,0.55,0.1,1,1e+06
"216",1,4,0.55,0.1,1,1e+06
"217",2,4,0.55,0.1,1,1e+06
"218",3,4,0.55,0.1,1,1e+06
"219",4,4,0.55,0.1,1,1e+06
"220",5,4,0.55,0.1,1,1e+06
"221",1,4,0.55,0.3,1,1e+06
"222",2,4,0.55,0.3,1,1e+06
"223",3,4,0.55,0.3,1,1e+06
"224",4,4,0.55,0.3,1,1e+06
"225",5,4,0.55,0.3,1,1e+06
"226",1,4,0.55,0.3,1,1e+06
"227",2,4,0.55,0.3,1,1e+06
"228",3,4,0.55,0.3,1,1e+06
"229",4,4,0.55,0.3,1,1e+06
"230",5,4,0.55,0.3,1,1e+06
"231",1,4,0.55,0.5,1,1e+06
"232",2,4,0.55,0.5,1,1e+06
"233",3,4,0.55,0.5,1,1e+06
"234",4,4,0.55,0.5,1,1e+06
"235",5,4,0.55,0.5,1,1e+06
"236",1,4,0.55,0.5,1,1e+06
"237",2,4,0.55,0.5,1,1e+06
