"","o","nn","FIRM.COSTING_SYSTEM.CP","FIRM.COSTING_SYSTEM.RC_VAR","FIRM.COSTING_SYSTEM.NUMB_Error","FIRM.COSTING_SYSTEM.Error","FIRM.PRODUCTION_ENVIRONMENT.DENS","FIRM.PRODUCTION_ENVIRONMENT.COR","FIRM.PRODUCTION_ENVIRONMENT.Q_VAR","FIRM.PRODUCTION_ENVIRONMENT.NUMB_PRO","FIRM.PRODUCTION_ENVIRONMENT.NUMB_RES","EUCD","MAPE","MSE"
"1",1,1,1,-1,1,0,0.581100854114629,0,1,50,50,60632.83,0.3968,73526795.67
"2",2,2,1,-1,1,0,0.411429763492197,0,1,50,50,110153.59,0.6213,242676256.63
"3",3,3,1,-1,1,0,0.437261848337948,0,1,50,50,107359.76,0.6733,230522375.21
"4",4,4,1,-1,1,0,0.552713045547716,0,1,50,50,48441.84,0.3146,46932233.37
"5",5,5,1,-1,1,0,0.695705583319068,0,1,50,50,86923.54,0.5199,151114048.52
"6",6,6,1,-1,1,0,0.472087400476448,0,1,50,50,83831.76,0.498,140555264.71
"7",7,7,1,-1,1,0,0.549240399664268,0,1,50,50,83046.71,0.48,137935121.06
"8",8,8,1,-1,1,0,0.521215936122462,0,1,50,50,85391.95,0.4403,145835711.93
"9",9,9,1,-1,1,0,0.401784951426089,0,1,50,50,105583.26,0.5907,222956511.71
"10",10,10,1,-1,1,0,0.684155034227297,0,1,50,50,87928.34,0.5614,154627844.06
"11",11,11,1,-1,1,0,0.502035341621377,0,1,50,50,74152.84,0.4237,109972878.45
"12",12,12,1,-1,1,0,0.629702406865545,0,1,50,50,87692.77,0.4851,153800455.02
"13",13,13,1,-1,1,0,0.515932110371068,0,1,50,50,94768.55,0.5681,179621567.61
"14",14,14,1,-1,1,0,0.627988345595077,0,1,50,50,87029.22,0.5349,151481687.7
"15",15,15,1,-1,1,0,0.511393047031015,0,1,50,50,108187.86,0.6161,234092267.86
"16",16,16,1,-1,1,0,0.590083184302785,0,1,50,50,89112.56,0.5341,158820966.09
"17",17,17,1,-1,1,0,0.620766314608045,0,1,50,50,112552.51,0.6907,253361359.87
"18",18,18,1,-1,1,0,0.640705929556861,0,1,50,50,97313.47,0.5937,189398232.24
"19",19,19,1,-1,1,0,0.442773665487766,0,1,50,50,76771.77,0.488,117878088.34
"20",20,20,1,-1,1,0,0.632547880196944,0,1,50,50,101616.52,0.6436,206518341.75
"21",21,21,1,-1,1,0,0.55523883420974,0,1,50,50,82987.75,0.4693,137739319.8
"22",22,22,1,-1,1,0,0.556930562807247,0,1,50,50,60686.75,0.3619,73657622.32
"23",23,23,1,-1,1,0,0.633632114855573,0,1,50,50,75458.8,0.4881,113880617.81
"24",24,24,1,-1,1,0,0.496128490963019,0,1,50,50,88246.89,0.5308,155750258.96
"25",25,25,1,-1,1,0,0.571388737671077,0,1,50,50,102374.02,0.627,209608811.6
"26",26,26,1,-1,1,0,0.685694911377504,0,1,50,50,89485.47,0.5384,160153002.58
"27",27,27,1,-1,1,0,0.458840996725485,0,1,50,50,91732.24,0.5275,168296090.74
"28",28,28,1,-1,1,0,0.660697026015259,0,1,50,50,89512.69,0.5141,160250450.59
"29",29,29,1,-1,1,0,0.516605654545128,0,1,50,50,97723.43,0.5941,190997393.17
"30",30,30,1,-1,1,0,0.566739420243539,0,1,50,50,110285.42,0.596,243257471.35
"31",31,31,1,-1,1,0,0.450086682802066,0,1,50,50,91863.14,0.5191,168776727.14
"32",32,32,1,-1,1,0,0.489011391554959,0,1,50,50,115095,0.6634,264937163.39
"33",33,33,1,-1,1,0,0.530043936194852,0,1,50,50,79155.7,0.4695,125312512.4
"34",34,34,1,-1,1,0,0.547550725680776,0,1,50,50,100049.41,0.5829,200197688.04
"35",35,35,1,-1,1,0,0.603393453126773,0,1,50,50,80357.96,0.4673,129148019.79
"36",36,36,1,-1,1,0,0.598258083313703,0,1,50,50,87673.75,0.4988,153733740.79
"37",37,37,1,-1,1,0,0.539693594537675,0,1,50,50,100842.9,0.5699,203385826.01
"38",38,38,1,-1,1,0,0.661799354059622,0,1,50,50,103609.55,0.6111,214698796.16
"39",39,39,1,-1,1,0,0.600576906441711,0,1,50,50,72600.9,0.4418,105417805.35
"40",40,40,1,-1,1,0,0.553356849611737,0,1,50,50,87822.73,0.4892,154256629.79
"41",41,41,1,-1,1,0,0.649750322219916,0,1,50,50,89174.62,0.4706,159042272.17
"42",42,42,1,-1,1,0,0.453845379780978,0,1,50,50,94129.49,0.5735,177207219.18
"43",43,43,1,-1,1,0,0.462777050444856,0,1,50,50,108282.46,0.6038,234501803.37
"44",44,44,1,-1,1,0,0.452868449897505,0,1,50,50,53959.76,0.3512,58233114.64
"45",45,45,1,-1,1,0,0.608934011752717,0,1,50,50,106267.85,0.6334,225857131.53
"46",46,46,1,-1,1,0,0.677553019952029,0,1,50,50,98676.76,0.5539,194742042
"47",47,47,1,-1,1,0,0.682940229703672,0,1,50,50,69947.58,0.4016,97853281.23
"48",48,48,1,-1,1,0,0.53085234540049,0,1,50,50,91326.71,0.5678,166811376.38
"49",49,49,1,-1,1,0,0.521721612918191,0,1,50,50,103650.43,0.6188,214868232.69
"50",50,50,1,-1,1,0,0.690357757895254,0,1,50,50,84199.67,0.5231,141791678.53
"51",51,51,1,-1,1,0,0.463574786833487,0,1,50,50,103264.99,0.5909,213273150
"52",52,52,1,-1,1,0,0.486256270320155,0,1,50,50,94949.21,0.5145,180307034
"53",53,53,1,-1,1,0,0.505008944356814,0,1,50,50,71087.94,0.4227,101069911.05
