FirmID,CostSysID,PACP,ACP,PDR,B,D
1,1,3,1,0,{{0; 2; 4; 3; 1; 6; 7; 5; 9; 8; 12; 14; 25; 30; 35; 43; 33; 24; 34; 19; 44; 28; 18; 15; 48; 11; 32; 41; 31; 45; 42; 49; 36; 40; 21; 27; 13; 37; 17; 10; 47; 22; 38; 26; 16; 23; 20; 29; 46; 39}},{{0}},
1,2,3,2,0,{{0; 35; 45}; {2; 4; 3; 1; 6; 7; 5; 9; 8; 12; 14; 25; 30; 43; 33; 24; 34; 19; 44; 28; 18; 15; 48; 11; 32; 41; 31; 42; 49; 36; 40; 21; 27; 13; 37; 17; 10; 47; 22; 38; 26; 16; 23; 20; 29; 46; 39}},{{0}; {2}},
1,3,3,4,0,{{0; 35; 45}; {2; 37; 44}; {4}; {3; 1; 6; 7; 5; 9; 8; 12; 14; 25; 30; 43; 33; 24; 34; 19; 28; 18; 15; 48; 11; 32; 41; 31; 42; 49; 36; 40; 21; 27; 13; 17; 10; 47; 22; 38; 26; 16; 23; 20; 29; 46; 39}},{{0}; {2}; {4}; {3}},
1,4,3,6,0,{{0; 35; 45}; {2; 37; 44}; {4}; {3}; {1; 16; 24}; {6; 7; 5; 9; 8; 12; 14; 25; 30; 43; 33; 34; 19; 28; 18; 15; 48; 11; 32; 41; 31; 42; 49; 36; 40; 21; 27; 13; 17; 10; 47; 22; 38; 26; 23; 20; 29; 46; 39}},{{0}; {2}; {4}; {3}; {1}; {6}},
1,5,3,8,0,{{0; 35; 45}; {2; 37; 44}; {4}; {3}; {1; 16; 24}; {6; 40}; {7; 46; 22}; {5; 9; 8; 12; 14; 25; 30; 43; 33; 34; 19; 28; 18; 15; 48; 11; 32; 41; 31; 42; 49; 36; 21; 27; 13; 17; 10; 47; 38; 26; 23; 20; 29; 39}},{{0}; {2}; {4}; {3}; {1}; {6}; {7}; {5}},
1,6,3,10,0,{{0; 35; 45}; {2; 37; 44}; {4}; {3}; {1; 16; 24}; {6; 40}; {7; 46; 22}; {5; 31}; {9}; {8; 12; 14; 25; 30; 43; 33; 34; 19; 28; 18; 15; 48; 11; 32; 41; 42; 49; 36; 21; 27; 13; 17; 10; 47; 38; 26; 23; 20; 29; 39}},{{0}; {2}; {4}; {3}; {1}; {6}; {7}; {5}; {9}; {8}},
1,7,3,12,0,{{0; 35; 45}; {2; 37; 44}; {4}; {3}; {1; 16; 24}; {6; 40}; {7; 46; 22}; {5; 31}; {9}; {8; 14; 12; 19; 47; 11}; {25; 17}; {30; 43; 33; 34; 28; 18; 15; 48; 32; 41; 42; 49; 36; 21; 27; 13; 10; 38; 26; 23; 20; 29; 39}},{{0}; {2}; {4}; {3}; {1}; {6}; {7}; {5}; {9}; {8}; {25}; {30}},
1,8,3,14,0,{{0; 35; 45}; {2; 37; 44}; {4}; {3}; {1; 16; 24}; {6; 40}; {7; 46; 22}; {5; 31}; {9}; {8; 14; 12; 19; 47; 11}; {25; 17}; {30}; {43}; {33; 34; 28; 18; 15; 48; 32; 41; 42; 49; 36; 21; 27; 13; 10; 38; 26; 23; 20; 29; 39}},{{0}; {2}; {4}; {3}; {1}; {6}; {7}; {5}; {9}; {8}; {25}; {30}; {43}; {33}},
1,9,3,16,0,{{0; 35; 45}; {2; 37; 44}; {4}; {3}; {1; 16; 24}; {6; 40}; {7; 46; 22}; {5; 31}; {9}; {8; 14; 12; 19; 47; 11}; {25; 17}; {30}; {43}; {33}; {34}; {28; 18; 15; 48; 32; 41; 42; 49; 36; 21; 27; 13; 10; 38; 26; 23; 20; 29; 39}},{{0}; {2}; {4}; {3}; {1}; {6}; {7}; {5}; {9}; {8}; {25}; {30}; {43}; {33}; {34}; {28}},
1,10,3,18,0,{{0; 35; 45}; {2; 37; 44}; {4}; {3}; {1; 16; 24}; {6; 40}; {7; 46; 22}; {5; 31}; {9}; {8; 14; 12; 19; 47; 11}; {25; 17}; {30}; {43}; {33}; {34}; {28}; {18}; {15; 48; 32; 41; 42; 49; 36; 21; 27; 13; 10; 38; 26; 23; 20; 29; 39}},{{0}; {2}; {4}; {3}; {1}; {6}; {7}; {5}; {9}; {8}; {25}; {30}; {43}; {33}; {34}; {28}; {18}; {15}},
